Date,Time,Traffic Volume,Average Speed (km-h),Occupancy Rate (%),Temperature,Precipitation (mm),Wind Speed (km-h),Visibility (km),Hour of Day,Incident Type,Incident Duration (min),Location_Agra,Location_Allahabad,Location_Bareilly,Location_Faizabad,Location_Ghaziabad,Location_Gorakhpur,Location_Kanpur,Location_Lucknow,Location_Mathura,Location_Varanasi,Day of Week_Friday,Day of Week_Monday,Day of Week_Saturday,Day of Week_Sunday,Day of Week_Thursday,Day of Week_Tuesday,Day of Week_Wednesday,Hour,Day,Month,Year,Traffic_Lag_1,Traffic_Lag_2,Traffic_Lag_3
2023-12-01,08:00:00,0.04878048780487804,60,80,0.14634146341463414,2.0,10,8,8,Accident,30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,12,2023,,,
2023-12-01,12:00:00,0.029268292682926828,55,85,0.21951219512195122,0.0,12,10,12,None,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,12,2023,0.04878048780487804,,
2023-12-01,16:00:00,0.01951219512195121,45,90,0.19512195121951223,1.0,8,9,16,Heavy Traffic,45,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16,1,12,2023,0.029268292682926828,0.04878048780487804,
2023-12-01,20:00:00,0.039024390243902446,65,75,0.12195121951219515,3.0,10,7,20,Roadwork,60,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,20,1,12,2023,0.01951219512195121,0.029268292682926828,0.04878048780487804
2023-12-01,23:00:00,0.004878048780487795,70,65,0.07317073170731711,0.0,5,10,23,None,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,23,1,12,2023,0.039024390243902446,0.01951219512195121,0.029268292682926828
2023-12-02,08:00:00,0.0975609756097561,62,82,0.17073170731707318,1.0,11,9,8,Minor Accident,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,2,12,2023,0.004878048780487795,0.039024390243902446,0.01951219512195121
2023-12-02,12:00:00,0.08780487804878048,57,87,0.24390243902439027,0.0,13,10,12,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,2,12,2023,0.0975609756097561,0.004878048780487795,0.039024390243902446
2023-12-02,16:00:00,0.07804878048780486,48,92,0.21951219512195122,2.0,7,8,16,Heavy Traffic,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16,2,12,2023,0.08780487804878048,0.0975609756097561,0.004878048780487795
2023-12-02,20:00:00,0.058536585365853655,66,78,0.14634146341463414,0.0,9,10,20,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,20,2,12,2023,0.07804878048780486,0.08780487804878048,0.0975609756097561
2023-12-02,23:00:00,0.053658536585365846,72,68,0.0975609756097561,1.0,6,9,23,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23,2,12,2023,0.058536585365853655,0.07804878048780486,0.08780487804878048
